[2025-06-21 11:46:54,100] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-06-21 11:49:53,282] INFO django.server "GET /attendance/pivot-report/ HTTP/1.1" 200 67266
[2025-06-21 11:49:53,316] INFO django.server "GET /static/main/css/fontawesome.css HTTP/1.1" 304 0
[2025-06-21 11:49:53,317] INFO django.server "GET /static/main/css/main.css HTTP/1.1" 304 0
[2025-06-21 11:49:53,320] INFO django.server "GET /static/main/css/navbar.css HTTP/1.1" 304 0
[2025-06-21 11:49:53,323] INFO django.server "GET /static/main/images/OC.png HTTP/1.1" 304 0
[2025-06-21 11:49:53,326] INFO django.server "GET /static/main/js/fontawesome.js HTTP/1.1" 304 0
[2025-06-21 11:49:53,364] INFO django.server "GET /static/main/js/navbar.js HTTP/1.1" 304 0
[2025-06-21 11:49:53,587] WARNING django.server "GET /static/main/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 179
[2025-06-21 11:49:53,665] WARNING django.server "GET /static/main/webfonts/fa-solid-900.ttf HTTP/1.1" 404 179
[2025-06-21 11:50:01,676] INFO custom_logger Leading record (ID: 23089) created by 'balasaheb.s' (2017)
[2025-06-21 11:50:01,679] INFO django.server "POST /add_leading_record/ HTTP/1.1" 302 0
[2025-06-21 11:50:01,991] INFO django.server "GET /add_leading_record/ HTTP/1.1" 200 30049
[2025-06-21 11:50:02,023] INFO django.server "GET /static/main/css/fontawesome.css HTTP/1.1" 304 0
[2025-06-21 11:50:02,025] INFO django.server "GET /static/main/css/main.css HTTP/1.1" 304 0
[2025-06-21 11:50:02,053] INFO django.server "GET /static/main/css/navbar.css HTTP/1.1" 304 0
[2025-06-21 11:50:02,061] INFO django.server "GET /static/main/images/OC.png HTTP/1.1" 304 0
[2025-06-21 11:50:02,064] INFO django.server "GET /static/leading/css/leading.css HTTP/1.1" 304 0
[2025-06-21 11:50:02,174] INFO django.server "GET /static/leading/js/leading.js HTTP/1.1" 304 0
[2025-06-21 11:50:02,178] INFO django.server "GET /static/main/js/fontawesome.js HTTP/1.1" 304 0
[2025-06-21 11:50:02,182] INFO django.server "GET /static/main/js/navbar.js HTTP/1.1" 304 0
[2025-06-21 11:50:02,283] WARNING django.server "GET /static/main/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 179
[2025-06-21 11:50:02,368] WARNING django.server "GET /static/main/webfonts/fa-solid-900.ttf HTTP/1.1" 404 179
[2025-06-21 11:50:13,492] INFO django.server - Broken pipe from ('192.168.1.253', 33145)
[2025-06-21 12:09:12,213] INFO django.server "GET /canteen-dashboard/ HTTP/1.1" 200 14566
[2025-06-21 12:09:12,287] INFO django.server "GET /static/main/css/fontawesome.css HTTP/1.1" 200 73890
[2025-06-21 12:09:12,819] WARNING django.server "GET /static/main/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 179
[2025-06-21 12:09:12,904] WARNING django.server "GET /static/main/webfonts/fa-solid-900.ttf HTTP/1.1" 404 179
[2025-06-21 12:09:13,422] INFO django.server "GET /static/main/js/fontawesome.js HTTP/1.1" 200 1530755
[2025-06-21 12:09:29,814] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 84730
[2025-06-21 12:09:29,970] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 1702
[2025-06-21 12:09:37,207] INFO django.server "GET /canteen-dashboard/?refresh=1750487907638 HTTP/1.1" 200 14566
[2025-06-21 12:09:37,351] WARNING django.server "GET /static/main/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 179
[2025-06-21 12:09:37,447] WARNING django.server "GET /static/main/webfonts/fa-solid-900.ttf HTTP/1.1" 404 179
[2025-06-21 12:09:40,061] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 84730
[2025-06-21 12:09:54,238] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 84730
